Time,yPosition,yVelocity,yAcceleration
17663.988,-1623.2725,-0.12645914,-2.4984497E-11
17696.47,-1627.3801,-0.12645914,-2.5030547E-11
17728.973,-1631.4904,-0.12645914,-2.5076576E-11
17761.504,-1635.6042,-0.12645914,-2.5122633E-11
17793.99,-1639.7123,-0.12645914,-2.516873E-11
17826.438,-1643.8156,-0.12645914,-2.5214764E-11
17858.844,-1647.9137,-0.12645914,-2.5260745E-11
17891.312,-1652.0198,-0.12645914,-2.5306665E-11
17923.818,-1656.1305,-0.12645914,-2.5352675E-11
17956.354,-1660.2449,-0.12645914,-2.5398737E-11
17988.916,-1664.3627,-0.12645914,-2.544484E-11
18021.424,-1668.4736,-0.12645914,-2.5490983E-11
18053.965,-1672.5889,-0.12645914,-2.5537046E-11
18086.465,-1676.6987,-0.12645914,-2.5583159E-11
18118.98,-1680.8105,-0.12645914,-2.5629212E-11
18151.516,-1684.9248,-0.12645914,-2.5675288E-11
18184.057,-1689.0399,-0.12645914,-2.5721392E-11
18216.656,-1693.1625,-0.12645914,-2.5767504E-11
18249.299,-1697.2905,-0.12645914,-2.5813698E-11
18281.965,-1701.4215,-0.12645914,-2.5859955E-11
18314.605,-1705.5493,-0.12645914,-2.5906244E-11
18347.264,-1709.6791,-0.12645914,-2.5952497E-11
18379.871,-1713.8026,-0.12645914,-2.5998774E-11
18412.445,-1717.922,-0.12645914,-2.604498E-11
18445.014,-1722.0406,-0.12645914,-2.609114E-11
18477.555,-1726.1556,-0.12645914,-2.613729E-11
18510.096,-1730.2706,-0.12645914,-2.6183403E-11
18542.652,-1734.3878,-0.12645914,-2.6229513E-11
18575.219,-1738.5061,-0.12645914,-2.6275648E-11
18607.793,-1742.6255,-0.12645914,-2.6321795E-11
18640.428,-1746.7524,-0.12645914,-2.6367955E-11
18673.04,-1750.8765,-0.12645914,-2.6414199E-11
18705.715,-1755.0088,-0.12645914,-2.646041E-11
18738.39,-1759.1409,-0.12645914,-2.6506713E-11
18771.045,-1763.2703,-0.12645914,-2.6553017E-11
18803.68,-1767.3972,-0.12645914,-2.6599289E-11
18836.316,-1771.5243,-0.12645914,-2.6645533E-11
18868.959,-1775.6522,-0.12645914,-2.669178E-11
18901.594,-1779.7793,-0.12645914,-2.6738037E-11
18934.176,-1783.8997,-0.12645914,-2.6784281E-11
18966.672,-1788.0092,-0.12645914,-2.6830451E-11
18999.152,-1792.1166,-0.12645914,-2.68765E-11
19031.682,-1796.2301,-0.12645914,-2.6922527E-11
19064.129,-1800.3335,-0.12645914,-2.6968622E-11
19096.611,-1804.4412,-0.12645914,-2.70146E-11
19129.072,-1808.5461,-0.12645914,-2.706063E-11
19161.543,-1812.6523,-0.12645914,-2.7106628E-11
19194.057,-1816.7642,-0.12645914,-2.715264E-11
19226.555,-1820.8738,-0.12645914,-2.7198712E-11
19258.986,-1824.975,-0.12645914,-2.7244764E-11
19291.4,-1829.074,-0.12645914,-2.729072E-11
19323.807,-1833.1721,-0.12645914,-2.7336652E-11
